model,accuracy,precision,recall,f1,auc_roc,avg_prec
Logistic Regression,0.7276,0.8125,0.7666,0.7889,0.7607,0.8407
Random Forest,0.6982,0.7734,0.7715,0.7724,0.7204,0.804
Gradient Boosting,0.6998,0.7661,0.7887,0.7772,0.7042,0.8018
DNN (ChurnNet),0.5465,0.8644,0.3759,0.524,0.7514,0.8354
